,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,income_to_debt,late_payment_flag,"age_group_(30, 40]","age_group_(40, 50]","age_group_(50, 60]","age_group_(60, 100]",SeriousDlqin2yrs,default_probability,risk_score
59770,0.029689737,57,0,0.283244418,10121.0,7,0,1,0,0.0,7887.039957496235,0,False,False,True,False,0,0.0,0.0
21362,0.0,57,0,0.14256225,7750.0,9,0,1,0,0.0,6783.000226027071,0,False,False,True,False,0,0.0,0.0
127324,0.036569165,48,0,0.236293951,6000.0,6,0,2,0,3.0,4853.214718996874,0,False,True,False,False,0,0.0,0.0
140509,1.018330787,41,0,0.163137729,4958.0,4,0,0,0,0.0,4262.607837734408,0,False,True,False,False,0,0.09,9.0
144297,1.008799413,49,0,5.0,5400.0,10,0,1,0,0.0,900.0,0,False,True,False,False,0,0.09,9.0
96370,0.798650169,34,0,0.295274271,8950.0,8,0,2,0,0.0,6909.733483002226,0,True,False,False,False,0,0.06,6.0
49742,0.140158374,67,0,5.0,5400.0,6,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
47389,0.04593505,78,0,0.007199177,5833.0,11,0,0,0,1.0,5791.307353302176,0,False,False,False,True,0,0.0,0.0
58378,0.301055343,54,0,0.255097258,8533.0,12,0,1,0,0.0,6798.676314214368,0,False,False,True,False,0,0.02,2.0
69047,0.133724418,44,0,0.259474278,6200.0,9,0,2,0,2.0,4922.688861772849,0,False,True,False,False,0,0.01,1.0
41980,0.9999999,55,0,0.132851696,4982.0,1,1,0,0,0.0,4397.751283412476,0,False,False,True,False,1,0.19,19.0
88782,0.0,33,0,0.009175931,5666.0,9,0,0,0,0.0,5614.48190147135,0,True,False,False,False,0,0.0,0.0
70771,0.005545202,31,0,5.0,5400.0,2,0,0,0,0.0,900.0,0,True,False,False,False,0,0.01,1.0
20216,0.0,44,0,0.608531437,4500.0,13,0,2,0,2.0,2797.5828737253337,0,False,True,False,False,0,0.04,4.0
80724,0.881514811,62,0,0.489179104,2679.0,4,0,1,0,0.0,1798.9777004015764,0,False,False,False,True,0,0.09,9.0
96906,0.345982257,58,0,0.514371407,4000.0,6,0,1,0,0.0,2641.3599606480157,0,False,False,True,False,0,0.01,1.0
81421,0.074144247,74,0,0.009249377,5621.0,6,0,0,0,1.0,5569.485726816555,0,False,False,False,True,0,0.0,0.0
109509,0.925082997,58,1,5.0,5400.0,3,0,1,0,0.0,900.0,1,False,False,True,False,0,0.12,12.0
1876,0.508254824,47,0,0.58369593,7813.0,9,0,1,0,1.0,4933.396526440527,0,False,True,False,False,0,0.02,2.0
46383,0.005455228,81,0,0.479004666,4500.0,17,0,2,0,0.0,3042.586750027197,0,False,False,False,True,0,0.01,1.0
7487,0.419627554,63,1,0.438756124,10000.0,13,1,2,0,0.0,6950.448260959061,1,False,False,False,True,1,0.15,15.0
18048,0.004136176,41,0,0.472323285,7695.0,9,0,2,0,0.0,5226.433676894542,0,False,True,False,False,0,0.0,0.0
29281,0.795932437,25,1,0.037756802,1800.0,3,0,0,0,0.0,1734.510433013765,1,False,False,False,False,0,0.17,17.0
51010,0.066611829,34,0,0.206383489,8333.0,5,0,1,0,0.0,6907.42212238616,0,True,False,False,False,0,0.0,0.0
76504,0.0,51,0,5.0,5400.0,5,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
134480,0.06323366,46,0,0.191144965,4200.0,6,0,1,0,1.0,3526.019186086221,0,False,True,False,False,0,0.0,0.0
100164,0.291630852,45,1,0.554770789,7503.0,17,0,4,0,0.0,4825.791719965225,1,False,True,False,False,0,0.06,6.0
25705,0.147334739,54,0,0.031626085,3572.0,8,0,0,0,1.0,3462.4948437592093,0,False,False,True,False,1,0.02,2.0
96398,0.451736404,62,0,0.180824373,16739.0,8,0,2,0,0.0,14175.68978312408,0,False,False,False,True,0,0.0,0.0
33116,0.023732354,44,0,0.544645535,10000.0,11,0,1,0,2.0,6473.97721575002,0,False,True,False,False,0,0.0,0.0
923,0.822400231,63,0,0.515793683,2500.0,12,0,0,0,0.0,1649.3009754811071,0,False,False,False,True,0,0.22,22.0
74296,0.023455168,64,0,0.253984607,16500.0,28,0,2,0,1.0,13158.056253556548,0,False,False,False,True,0,0.01,1.0
103668,0.032074198,57,0,0.548886738,3098.0,8,0,1,0,0.0,2000.1462495574676,0,False,False,True,False,0,0.01,1.0
100418,0.737815546,37,2,5.0,1.0,3,1,0,0,0.0,0.16666666666666666,1,True,False,False,False,0,0.27,27.0
99125,0.018146837,58,0,5.0,5400.0,6,0,2,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
39797,0.604395604,36,0,0.710350955,2250.0,18,0,0,0,0.0,1315.51948062028,0,True,False,False,False,0,0.2,20.0
110748,0.9999999,53,0,0.0,1333.0,0,0,0,0,0.0,1333.0,0,False,False,True,False,0,0.45,45.0
29474,0.158859813,53,0,0.435405953,6416.0,12,0,1,0,1.0,4469.815655000282,0,False,False,True,False,0,0.0,0.0
62004,0.004755344,62,0,0.402355776,7470.0,10,0,3,0,2.0,5326.750977064467,0,False,False,False,True,0,0.01,1.0
56935,0.0,30,0,0.0,2000.0,3,0,0,0,0.0,2000.0,0,False,False,False,False,0,0.0,0.0
24369,0.9999999,71,0,0.0,8000.0,0,0,0,0,0.0,8000.0,0,False,False,False,True,0,0.48,48.0
37240,0.798624547,69,0,0.445263684,8001.0,8,0,2,1,0.0,5536.014008084631,0,False,False,False,True,0,0.12,12.0
49306,0.762408771,39,0,0.529433543,2700.0,6,0,0,0,4.0,1765.3594772767449,0,True,False,False,False,1,0.07,7.0
90611,0.606948126,63,0,5.0,5400.0,9,0,2,1,1.0,900.0,0,False,False,False,True,0,0.13,13.0
107701,0.0641729,89,0,5.0,5400.0,10,0,0,0,0.0,900.0,0,False,False,False,True,0,0.02,2.0
89672,0.047997333,57,0,0.260353469,7581.0,4,0,1,0,1.0,6014.979278801033,0,False,False,True,False,0,0.0,0.0
95328,0.787511231,48,2,1.554174067,1688.0,6,1,1,1,3.0,660.8789987374029,1,False,True,False,False,1,0.45,45.0
32513,0.102774497,51,0,0.162936832,9070.0,9,0,1,0,1.0,7799.219828992397,0,False,False,True,False,0,0.0,0.0
137402,0.072853674,84,0,0.017301038,2600.0,4,0,0,0,1.0,2555.7823130816464,0,False,False,False,True,0,0.01,1.0
108660,0.05234587,65,1,1.280929768,4000.0,11,0,4,0,0.0,1753.670830254165,1,False,False,False,True,0,0.09,9.0
117162,0.478023726,43,0,0.162941961,5995.0,3,1,1,0,2.0,5155.029400474096,0,False,True,False,False,0,0.28,28.0
34127,0.0,63,0,5.0,5400.0,4,0,1,0,2.0,900.0,0,False,False,False,True,0,0.0,0.0
75598,0.063982976,72,0,0.036049682,3300.0,4,0,0,0,1.0,3185.175438333854,0,False,False,False,True,0,0.0,0.0
94660,0.038680128,52,0,5.0,5400.0,6,0,1,0,0.0,900.0,0,False,False,True,False,0,0.0,0.0
15666,0.098284692,30,0,0.450387051,1420.0,7,0,0,0,0.0,979.049005588509,0,False,False,False,False,0,0.01,1.0
102640,0.049259124,63,0,5.0,5400.0,6,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
72835,0.188430487,47,0,0.429893438,7131.0,5,0,1,0,2.0,4987.084918701473,0,False,True,False,False,0,0.0,0.0
58110,0.128782829,30,0,5.0,5400.0,3,0,0,0,0.0,900.0,0,False,False,False,False,0,0.38,38.0
41678,0.0,55,0,0.0,6900.0,2,0,0,0,0.0,6900.0,0,False,False,True,False,0,0.0,0.0
111763,0.186792528,63,0,5.0,5400.0,16,0,3,0,0.0,900.0,0,False,False,False,True,0,0.04,4.0
95770,0.012963401,38,0,5.0,5400.0,7,0,0,0,1.0,900.0,0,True,False,False,False,0,0.0,0.0
142842,0.0,57,2,5.0,5400.0,4,0,2,0,3.0,900.0,1,False,False,True,False,0,0.15,15.0
82449,0.0,55,0,0.585793137,4166.0,7,0,1,0,0.0,2627.0765731028637,0,False,False,True,False,0,0.01,1.0
113686,0.779088729,52,0,0.258882342,5600.0,9,0,1,0,0.0,4448.390300799057,0,False,False,True,False,0,0.11,11.0
42246,0.164413983,65,0,5.0,5400.0,17,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
84725,0.969549289,57,0,0.598955392,7083.0,24,0,2,0,1.0,4429.767106348392,0,False,False,True,False,0,0.13,13.0
27726,0.142738779,47,0,0.367907261,4916.0,8,0,1,0,2.0,3593.8108818913565,0,False,True,False,False,0,0.0,0.0
122223,0.0,53,0,0.188540573,20000.0,16,0,2,0,4.0,16827.359918827104,0,False,False,True,False,0,0.0,0.0
40009,0.0,71,0,0.423326134,3703.0,13,0,1,0,0.0,2601.652503627816,0,False,False,False,True,0,0.02,2.0
66016,0.0,33,0,0.479658606,3514.0,11,0,1,0,0.0,2374.872139931986,0,True,False,False,False,0,0.07,7.0
50463,0.078049835,45,0,0.569960023,1750.0,10,0,2,0,0.0,1114.678064640121,0,False,True,False,False,0,0.01,1.0
29064,0.9999999,68,0,5.0,5400.0,5,0,0,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
34965,0.224367989,47,0,0.280226164,12910.0,5,0,1,0,5.0,10084.155724222488,0,False,True,False,False,0,0.0,0.0
16622,0.823038874,47,0,5.0,5400.0,11,0,1,0,1.0,900.0,0,False,True,False,False,0,0.18,18.0
119290,0.727946115,57,0,0.272429309,18000.0,8,0,2,0,4.0,14146.16896411021,0,False,False,True,False,0,0.04,4.0
86408,0.076211301,49,0,0.205577612,10326.0,7,0,1,0,1.0,8565.18891626531,0,False,True,False,False,0,0.01,1.0
124008,0.9999999,34,0,5.0,0.0,2,0,1,0,2.0,0.0,0,True,False,False,False,0,0.01,1.0
85460,0.989400353,51,0,0.87424362,3800.0,6,0,2,0,0.0,2027.4845593445316,0,False,False,True,False,0,0.21,21.0
34257,0.38903219,68,0,5.0,5400.0,8,0,1,0,0.0,900.0,0,False,False,False,True,0,0.0,0.0
50691,0.023256695,67,0,0.005346294,4114.0,4,0,0,0,0.0,4092.1223110412143,0,False,False,False,True,0,0.0,0.0
10672,0.206618815,42,0,0.390540776,5750.0,8,0,2,0,3.0,4135.081904279232,0,False,True,False,False,0,0.02,2.0
144166,0.0,34,0,0.29843963,6600.0,10,0,0,0,2.0,5083.024152613087,0,True,False,False,False,0,0.05,5.0
7321,0.295809317,48,1,5.0,5400.0,8,0,1,0,2.0,900.0,1,False,True,False,False,0,0.01,1.0
15110,0.330316509,67,0,5.0,5400.0,7,0,1,0,0.0,900.0,0,False,False,False,True,0,0.01,1.0
129696,0.023899403,58,0,0.119847812,4730.0,4,0,0,0,1.0,4223.788223109017,0,False,False,True,False,0,0.0,0.0
83564,0.012477239,66,0,0.085793137,8333.0,5,0,0,0,2.0,7674.574203907498,0,False,False,False,True,0,0.0,0.0
119866,0.250974903,33,0,0.061297685,3066.0,4,0,0,0,0.0,2888.916129125449,0,True,False,False,False,0,0.06,6.0
133769,0.375968651,60,0,0.275497572,10500.0,14,0,2,0,0.0,8232.08152684747,0,False,False,True,False,0,0.0,0.0
146285,0.954499082,31,0,0.235159342,4800.0,10,0,0,0,2.0,3886.1382793152206,0,True,False,False,False,0,0.1,10.0
84221,0.228519196,40,0,0.175637394,6000.0,8,0,0,0,0.0,5103.6144568229,0,True,False,False,False,0,0.04,4.0
117,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,1812.9033529427754,0,False,True,False,False,0,0.02,2.0
71201,0.17727829,65,0,0.02413417,7333.0,2,0,0,0,0.0,7160.194645199662,0,False,False,False,True,0,0.0,0.0
